x_pixel,y_pixel
1801,430
1784,437
1746,448
1696,462
1632,479
1551,490
1464,505
1368,519
1267,531
1160,534
1050,532
942,526
837,514
737,497
646,478
564,459
494,439
438,421
396,406
369,396
357,392
361,393
377,401
410,414
459,431
520,450
593,469
678,487
769,503
869,516
973,526
1080,529
1186,527
1290,521
1387,510
1476,495
1556,480
1623,464
1676,450
1713,439
1736,432
1736,426
1727,428
1708,441
1667,454
1613,469
1545,484
1465,500
1376,514
1280,516
1177,521
1071,530
963,531
858,521
758,508
662,490
577,470
502,450
440,432
390,417
355,405
335,398
333,397
345,401
372,411
414,425
467,444
534,465
611,485
698,504
794,519
896,529
1001,535
1108,538
1213,536
1314,528
1409,515
1495,499
1569,483
1630,468
1677,455
1710,449
1726,445
1723,444
1710,451
1679,460
1633,472
1573,487
1501,504
1417,519
1325,532
1225,542
1121,545
1013,544
906,539
802,530
703,515
611,496
532,476
463,455
408,437
367,423
340,414
328,410
330,412
348,419
381,430
428,445
488,462
558,483
638,503
729,521
826,535
930,543
1034,546
1139,544
1240,540
1337,531
1425,519
1504,505
1572,490
1626,475
1666,463
1689,457
1700,455
1693,458
1673,463
1637,473
1587,487
1524,501
1448,516
1363,532
1269,543
1168,551
1063,553
959,549
856,539
757,527
664,511
581,493
507,473
445,453
398,435
364,422
345,415
323,416
346,423
373,430
412,443
465,458
530,475
604,495
688,514
780,531
879,544
982,550
1087,551
1190,546
1291,539
1384,528
1470,516
1545,501
1608,486
1657,471
1692,459
1707,457
1710,456
1698,459
1669,466
1625,477
1567,492
1497,507
1416,521
1325,534
1229,545
1127,550
1022,550
918,544
816,533
720,516
632,499
553,481
486,462
430,446
388,431
361,423
345,419
348,420
370,423
401,435
447,451
505,469
575,486
654,502
743,519
839,534
940,544
1043,549
1146,548
1247,543
1343,533
1431,520
1510,507
1577,494
1632,482
1672,471
1697,463
1705,462
1700,462
1679,468
1644,477
1594,493
1531,508
1455,523
1370,536
1276,546
1178,553
1075,557
972,555
871,549
772,536
680,519
597,501
524,482
463,466
414,452
380,442
363,432
356,433
366,437
389,444
425,457
475,475
537,493
609,511
690,529
779,542
874,553
973,561
1073,565
1172,563
1267,555
1356,544
1437,529
1508,515
1567,502
1613,492
1645,486
1661,480
1663,481
1649,483
1621,490
1579,502
1525,516
1458,533
1381,547
1293,559
1199,567
1101,570
1001,570
901,566
804,557
711,545
626,529
551,512
486,494
433,478
393,466
367,458
358,461
360,462
374,462
405,471
449,485
504,501
571,519
647,537
731,552
821,564
916,572
1014,576
1111,576
1207,572
1298,565
1381,554
1455,541
1518,527
1570,516
1608,507
1632,502
1642,500
1637,504
